loss,delay,fast_recovery,md5_hash,ttc
1,0,0,10604d4b20f7507426c10a49c960c63d,0.08315873146057129
1,0,0,10604d4b20f7507426c10a49c960c63d,0.08675646781921387
1,0,0,10604d4b20f7507426c10a49c960c63d,0.08956050872802734
1,0,0,10604d4b20f7507426c10a49c960c63d,0.08194136619567871
1,0,0,10604d4b20f7507426c10a49c960c63d,0.09239768981933594
1,0,1,10604d4b20f7507426c10a49c960c63d,0.08306694030761719
1,0,1,10604d4b20f7507426c10a49c960c63d,0.09827017784118652
1,0,1,10604d4b20f7507426c10a49c960c63d,0.0806267261505127
1,0,1,10604d4b20f7507426c10a49c960c63d,0.07631874084472656
1,0,1,10604d4b20f7507426c10a49c960c63d,0.08069682121276855
1,20,0,10604d4b20f7507426c10a49c960c63d,0.2503960132598877
1,20,0,10604d4b20f7507426c10a49c960c63d,0.24818944931030273
1,20,0,10604d4b20f7507426c10a49c960c63d,0.24714088439941406
1,20,0,10604d4b20f7507426c10a49c960c63d,0.24672222137451172
1,20,0,10604d4b20f7507426c10a49c960c63d,0.2507057189941406
1,20,1,10604d4b20f7507426c10a49c960c63d,0.24915671348571777
1,20,1,10604d4b20f7507426c10a49c960c63d,0.2499523162841797
1,20,1,10604d4b20f7507426c10a49c960c63d,0.24964284896850586
1,20,1,10604d4b20f7507426c10a49c960c63d,0.24861741065979004
1,20,1,10604d4b20f7507426c10a49c960c63d,0.24880003929138184
1,40,0,10604d4b20f7507426c10a49c960c63d,0.40830087661743164
1,40,0,10604d4b20f7507426c10a49c960c63d,0.4049410820007324
1,40,0,10604d4b20f7507426c10a49c960c63d,0.41930675506591797
1,40,0,10604d4b20f7507426c10a49c960c63d,0.41254305839538574
1,40,0,10604d4b20f7507426c10a49c960c63d,0.4103546142578125
1,40,1,10604d4b20f7507426c10a49c960c63d,0.4113039970397949
1,40,1,10604d4b20f7507426c10a49c960c63d,0.41640448570251465
1,40,1,10604d4b20f7507426c10a49c960c63d,0.41733360290527344
1,40,1,10604d4b20f7507426c10a49c960c63d,0.4072530269622803
1,40,1,10604d4b20f7507426c10a49c960c63d,0.9099283218383789
1,60,0,10604d4b20f7507426c10a49c960c63d,0.5766022205352783
1,60,0,10604d4b20f7507426c10a49c960c63d,0.5703978538513184
1,60,0,10604d4b20f7507426c10a49c960c63d,0.576197624206543
1,60,0,10604d4b20f7507426c10a49c960c63d,0.575538158416748
1,60,0,10604d4b20f7507426c10a49c960c63d,0.5744125843048096
1,60,1,10604d4b20f7507426c10a49c960c63d,0.5769855976104736
1,60,1,10604d4b20f7507426c10a49c960c63d,0.58016037940979
1,60,1,10604d4b20f7507426c10a49c960c63d,0.5761382579803467
1,60,1,10604d4b20f7507426c10a49c960c63d,0.5797202587127686
